,id,pickup_datetime,dropoff_datetime,origin,destination
24,id2041977,2016-01-01 00:07:27,2016-01-01 00:13:50,42445649,42440325
25,id2660288,2016-01-01 00:07:29,2016-01-01 00:16:03,42429766,42442881
26,id0760413,2016-01-01 00:07:34,2016-01-01 00:19:12,42430378,42442469
27,id1436179,2016-01-01 00:07:47,2016-01-01 00:17:50,42440729,42436531
28,id1019488,2016-01-01 00:08:07,2016-01-01 00:22:14,42445661,42436359
29,id1781008,2016-01-01 00:08:09,2016-01-01 00:30:00,42436935,42454042
30,id2270359,2016-01-01 00:08:15,2016-01-01 00:09:42,42440743,387184869
31,id1043337,2016-01-01 00:08:29,2016-01-01 00:19:54,42428253,42444909
32,id0489547,2016-01-01 00:08:37,2016-01-01 00:12:41,42452365,42445039
33,id3016902,2016-01-01 00:08:38,2016-01-01 00:15:10,42454433,42442463
34,id3453922,2016-01-01 00:08:40,2016-01-01 00:15:35,1773078006,42442870
35,id0967740,2016-01-01 00:08:46,2016-01-01 00:19:09,42430352,42443613
36,id1014156,2016-01-01 00:08:47,2016-01-01 00:12:37,42457728,42436848
37,id0502742,2016-01-01 00:08:49,2016-01-01 00:19:31,42443353,761293063
38,id3619619,2016-01-01 00:08:52,2016-01-01 00:12:42,42424225,42443366
39,id3554494,2016-01-01 00:08:53,2016-01-01 00:15:19,42436705,42449963
40,id3512166,2016-01-01 00:09:01,2016-01-01 00:19:32,42428065,42435516
41,id1276140,2016-01-01 00:09:01,2016-01-01 00:16:24,42456683,42455932
42,id2336715,2016-01-01 00:09:03,2016-01-01 00:19:25,42434946,5161246307
43,id0672409,2016-01-01 00:09:09,2016-01-01 00:21:17,42439170,42451674
44,id2280748,2016-01-01 00:09:36,2016-01-01 00:10:46,42437305,42438043
45,id0441132,2016-01-01 00:10:25,2016-01-01 00:16:30,42436159,42439286
46,id1234112,2016-01-01 00:10:25,2016-01-01 00:18:47,42432060,42440270
47,id3933480,2016-01-01 00:10:26,2016-01-01 00:13:51,42442933,42449928
48,id3420186,2016-01-01 00:10:47,2016-01-01 00:19:14,42438174,42430295
49,id2664946,2016-01-01 00:10:53,2016-01-01 00:16:56,42450044,6176628861
50,id2100728,2016-01-01 00:11:17,2016-01-01 00:15:08,42437021,42449918
51,id3852699,2016-01-01 00:11:22,2016-01-01 00:27:47,1692433935,42446933
52,id1006852,2016-01-01 00:11:33,2016-01-01 00:31:39,42443680,247120300
53,id0880957,2016-01-01 00:11:41,2016-01-01 00:15:14,42443353,42431019
54,id0987539,2016-01-01 00:11:46,2016-01-01 00:19:40,42421728,42443819
55,id2330529,2016-01-01 00:11:48,2016-01-01 00:16:40,42436944,42455412
56,id1294759,2016-01-01 00:11:49,2016-01-01 00:27:46,42427477,42427236
57,id1035006,2016-01-01 00:11:56,2016-01-01 00:20:40,561035359,42436807
58,id2418487,2016-01-01 00:12:00,2016-01-01 00:20:09,42430231,42440737
59,id1635064,2016-01-01 00:12:03,2016-01-01 00:19:57,42434352,42432184
60,id3734778,2016-01-01 00:12:14,2016-01-01 00:40:56,42439960,42437580
61,id3914876,2016-01-01 00:12:42,2016-01-01 00:17:53,42430265,42434352
62,id2633378,2016-01-01 00:12:51,2016-01-01 00:23:49,42435644,42421877
63,id2612636,2016-01-01 00:12:53,2016-01-01 00:33:04,42426747,42454042
64,id3677668,2016-01-01 00:13:15,2016-01-01 00:21:12,390519635,42437436
65,id3388812,2016-01-01 00:13:19,2016-01-01 00:23:31,42440951,42429693
66,id3205616,2016-01-01 00:13:22,2016-01-01 00:38:42,42437613,42443346
67,id0121081,2016-01-01 00:13:23,2016-01-01 00:23:27,42439440,42454006
68,id0986197,2016-01-01 00:13:28,2016-01-01 00:33:52,42435272,42435477
69,id1659866,2016-01-01 00:13:38,2016-01-01 00:23:25,42436793,42436947
70,id3828931,2016-01-01 00:13:42,2016-01-01 00:30:45,1773084407,42435642
71,id2050754,2016-01-01 00:13:59,2016-01-01 00:24:50,42442567,42427891
72,id1943538,2016-01-01 00:14:09,2016-01-01 00:42:07,42439840,6207264908
73,id0535590,2016-01-01 00:14:13,2016-01-01 00:42:11,42430378,42445603
74,id3205136,2016-01-01 00:14:24,2016-01-01 00:38:09,42431154,42446934
75,id2314185,2016-01-01 00:14:32,2016-01-01 00:27:32,42439849,42443329
76,id0614081,2016-01-01 00:14:46,2016-01-01 00:29:15,42423885,42446632
77,id1071006,2016-01-01 00:14:50,2016-01-01 00:21:49,42446270,42430277
78,id3754001,2016-01-01 00:15:03,2016-01-01 00:28:27,42440153,42440326
79,id3847265,2016-01-01 00:15:06,2016-01-01 00:26:10,42428723,2141026538
80,id3280273,2016-01-01 00:15:06,2016-01-01 00:30:26,42446353,42446488
81,id2139933,2016-01-01 00:15:12,2016-01-01 00:16:43,42446021,42429324
82,id1632188,2016-01-01 00:15:23,2016-01-01 00:18:07,42445020,42445020
83,id1008975,2016-01-01 00:15:32,2016-01-01 00:42:05,4597668032,42429215
84,id1852789,2016-01-01 00:15:35,2016-01-01 00:27:38,247120348,42439830
85,id1210692,2016-01-01 00:15:45,2016-01-01 00:27:36,42439272,42430277
86,id0846731,2016-01-01 00:15:47,2016-01-01 00:24:02,42429666,427840965
87,id3160933,2016-01-01 00:16:09,2016-01-01 00:36:17,42442881,42437918
88,id3621631,2016-01-01 00:16:13,2016-01-01 00:29:34,42439286,42452630
89,id0633946,2016-01-01 00:16:20,2016-01-01 00:35:29,42452973,42444424
90,id1320937,2016-01-01 00:16:33,2016-01-01 00:35:08,42440397,42429029
91,id1378987,2016-01-01 00:16:45,2016-01-01 00:46:57,42430282,42428926
92,id0874252,2016-01-01 00:17:00,2016-01-01 00:24:58,42439836,1773084402
93,id3851045,2016-01-01 00:17:04,2016-01-01 00:27:47,42440452,42436549
94,id3700650,2016-01-01 00:17:04,2016-01-01 00:25:17,42436510,42440452
95,id2905168,2016-01-01 00:17:15,2016-01-01 00:38:57,42455693,42444909
96,id0615830,2016-01-01 00:17:22,2016-01-01 00:35:45,42450426,42446488
97,id1126109,2016-01-01 00:17:45,2016-01-01 00:30:17,42430060,561042190
98,id3228429,2016-01-01 00:17:50,2016-01-01 00:24:22,3099327937,42430488
99,id2788317,2016-01-01 00:17:55,2016-01-01 00:43:05,42443050,42436763
100,id3150178,2016-01-01 00:18:07,2016-01-01 00:34:02,42435283,596775870
101,id2685361,2016-01-01 00:18:08,2016-01-01 00:43:49,42436336,42428985
102,id3689002,2016-01-01 00:18:18,2016-01-01 00:41:54,42436427,42425232
103,id2753900,2016-01-01 00:18:22,2016-01-01 00:25:46,42424218,42421806
104,id2385969,2016-01-01 00:18:31,2016-01-01 00:37:10,42432184,42435646
105,id3750179,2016-01-01 00:18:36,2016-01-01 00:27:15,4557517555,4443775465
106,id1306004,2016-01-01 00:18:37,2016-01-01 00:25:17,4491359481,42435420
107,id2956319,2016-01-01 00:19:01,2016-01-01 00:34:13,42442475,42438257
108,id1307484,2016-01-01 00:19:05,2016-01-01 00:23:29,42445018,42430691
109,id3949300,2016-01-01 00:19:08,2016-01-01 00:29:47,42430187,5849918502
110,id2297336,2016-01-01 00:19:18,2016-01-01 00:34:41,42439001,42452812
111,id0697399,2016-01-01 00:19:18,2016-01-01 00:30:43,42433620,427842069
112,id2299182,2016-01-01 00:19:23,2016-01-01 00:26:06,42446478,42443341
113,id1823684,2016-01-01 00:19:28,2016-01-01 00:37:59,42445365,1061531454
114,id3453600,2016-01-01 00:19:31,2016-01-01 00:37:16,4557517555,42443381
115,id3632346,2016-01-01 00:19:35,2016-01-01 00:24:22,42431447,42428720
116,id1413919,2016-01-01 00:19:37,2016-01-01 00:43:10,373903786,42450044
117,id2236484,2016-01-01 00:19:58,2016-01-01 00:21:22,42442475,42442534
118,id3991965,2016-01-01 00:20:08,2016-01-01 00:29:16,42437917,42434113
119,id3764623,2016-01-01 00:20:15,2016-01-01 00:28:19,42456611,42445733
120,id2736660,2016-01-01 00:20:28,2016-01-01 00:24:09,1692433928,42439345
121,id0571277,2016-01-01 00:20:29,2016-01-01 00:21:41,42449893,42456543
122,id0996861,2016-01-01 00:20:34,2016-01-01 00:32:39,42428037,42449021
123,id0551434,2016-01-01 00:20:36,2016-01-01 00:27:56,42437914,42434821
124,id0125867,2016-01-01 00:20:41,2016-01-01 00:38:40,4491359481,42432174
125,id2117730,2016-01-01 00:20:49,2016-01-01 00:28:41,42443680,42437289
126,id3985015,2016-01-01 00:20:54,2016-01-01 00:36:16,42449341,42428436
127,id3709283,2016-01-01 00:20:59,2016-01-01 00:25:43,42435714,42435714
128,id1735510,2016-01-01 00:21:15,2016-01-01 00:33:57,42429830,42439836
129,id3762816,2016-01-01 00:21:19,2016-01-01 00:27:49,42435275,42431027
130,id2104227,2016-01-01 00:21:31,2016-01-01 00:24:58,42440469,42428007
131,id3377465,2016-01-01 00:21:41,2016-01-01 00:25:21,42430984,42442463
132,id0507270,2016-01-01 00:21:55,2016-01-01 00:26:00,42443050,42428020
133,id0631283,2016-01-01 00:22:09,2016-01-01 00:41:25,42449886,42443044
134,id1080935,2016-01-01 00:22:17,2016-01-01 00:25:38,42436546,42443042
135,id0640354,2016-01-01 00:22:19,2016-01-01 00:27:09,42427915,42425570
136,id2537642,2016-01-01 00:22:32,2016-01-01 00:32:49,42436944,42440951
137,id2553721,2016-01-01 00:22:37,2016-01-01 00:24:58,42432706,42455643
138,id3339518,2016-01-01 00:22:37,2016-01-01 01:05:56,42436537,42428480
139,id1605007,2016-01-01 00:22:39,2016-01-01 00:45:35,42437358,561035333
140,id3284641,2016-01-01 00:22:52,2016-01-01 00:38:03,42432302,42452882
141,id0863823,2016-01-01 00:22:55,2016-01-01 00:35:15,42433625,42436941
142,id3787475,2016-01-01 00:22:55,2016-01-01 00:34:42,42436710,42441564
143,id1784392,2016-01-01 00:22:56,2016-01-01 00:34:53,42430749,42443532
144,id2315313,2016-01-01 00:23:00,2016-01-01 00:38:32,42431804,42439181
145,id0908265,2016-01-01 00:23:01,2016-01-01 00:52:18,42442247,42437384
146,id3298816,2016-01-01 00:23:08,2016-01-01 00:41:08,42439275,42453902
147,id1035939,2016-01-01 00:23:10,2016-01-01 00:41:48,42445247,561042192
148,id2860315,2016-01-01 00:23:32,2016-01-01 00:37:17,42421889,42435645
149,id1687219,2016-01-01 00:23:33,2016-01-01 00:41:23,42422016,42432992
